feature,importance,cumulative_importance
rsi_slope_2h,57.2,0.08171428571428571
atr_normalized_4h,44.2,0.14485714285714285
rsi_slope_4h,41.2,0.2037142857142857
rsi_slope_1h,25.0,0.23942857142857144
atr_normalized,23.6,0.27314285714285713
rsi_price_divergence_cont_4h,20.6,0.30257142857142855
sma_20_slope,19.2,0.32999999999999996
dist_from_swing_high_50,18.2,0.3559999999999999
hidden_divergence,17.8,0.38142857142857134
rsi_slope_12h,15.8,0.40399999999999997
dist_from_swing_high_50_2h,15.4,0.42599999999999993
rsi_14_2h,13.8,0.4457142857142856
cumulative_delta,11.8,0.4625714285714285
dist_from_swing_low_50_4h,10.0,0.4768571428571428
dist_from_swing_low_50_2h,9.6,0.49057142857142855
vpt_ma_20,9.2,0.5037142857142857
vpt,9.0,0.5165714285714286
dist_from_swing_high_50_4h,8.6,0.5288571428571428
dist_from_vwap,8.6,0.5411428571428571
nearest_support_strength,8.0,0.5525714285714286
dist_from_sma_20,7.6,0.5634285714285715
rsi_slope_1d,7.0,0.5734285714285715
volume_volatility_interaction,6.8,0.5831428571428572
rsi_14,6.8,0.592857142857143
dist_from_r1,6.8,0.6025714285714286
price_range,6.6,0.6120000000000001
roc_10_atr_adj,6.0,0.6205714285714287
hl_spread,5.8,0.628857142857143
roc_10_atr_norm_2h,5.6,0.636857142857143
bullish_volume_count,5.6,0.644857142857143
roc_5_atr_norm_12h,5.6,0.652857142857143
dist_from_swing_low_50,5.6,0.6608571428571431
rsi_14_12h,5.4,0.6685714285714288
obv,5.2,0.6760000000000002
dist_from_bullish_ob,5.2,0.6834285714285716
money_flow_ratio,5.2,0.6908571428571431
rsi_price_divergence_cont_2h,5.0,0.6980000000000002
buy_sell_imbalance_20,4.4,0.7042857142857144
mfi_slope_1d,4.2,0.7102857142857144
support_strength,4.2,0.7162857142857144
rvol_ratio_2h,4.2,0.7222857142857143
atr_normalized_12h,4.2,0.7282857142857143
dist_from_s1,4.2,0.7342857142857143
ad_line_ma_20,4.0,0.74
adx_14,3.8,0.7454285714285714
roc_10_atr_norm_1h,3.8,0.7508571428571428
market_structure_direction,3.6,0.7559999999999999
roc_10_atr_norm_4h,3.6,0.7611428571428571
dist_from_swing_low_50_1d,3.4,0.7659999999999999
buy_sell_ratio_ma20,3.2,0.7705714285714286
dist_from_nearest_support_pivot,3.0,0.7748571428571429
obv_ma_20,3.0,0.7791428571428571
above_sma_50,3.0,0.7834285714285715
sr_strength,3.0,0.7877142857142857
dist_from_bearish_ob,3.0,0.792
pivot_volume_interaction,2.8,0.7959999999999999
is_pivot_low,2.8,0.7999999999999998
vwap_rsi_interaction,2.8,0.8039999999999998
support_volume_interaction,2.6,0.8077142857142855
sma_20_slope_1h,2.6,0.8114285714285713
rsi_price_divergence_cont_12h,2.6,0.8151428571428571
rvol_ratio_4h,2.6,0.8188571428571428
liquidity_void_depth,2.4,0.8222857142857142
is_pivot_high,2.4,0.8257142857142856
mfi_14_1d,2.4,0.829142857142857
atr_normalized_1d,2.4,0.8325714285714284
rsi_price_divergence_cont_1d,2.2,0.8357142857142856
rvol_ratio,2.2,0.8388571428571427
support_touch_count,2.2,0.842
momentum_strength_score,2.2,0.8451428571428572
mfi_14_1h,2.2,0.8482857142857144
near_swing_low_alignment,2.2,0.8514285714285716
volatility_clustering,2.2,0.8545714285714289
dist_from_swing_high_50_12h,2.2,0.857714285714286
ad_line,2.2,0.8608571428571432
choppiness_14,2.2,0.8640000000000004
dist_from_swing_high_50_1h,2.0,0.8668571428571433
above_sma_100,2.0,0.8697142857142861
ict_composite_score_ma_10,2.0,0.872571428571429
double_top_strength,2.0,0.8754285714285719
double_bottom_strength,2.0,0.8782857142857148
roc_5_atr_norm_1h,1.8,0.8808571428571432
mfi_slope_4h,1.8,0.8834285714285718
support_bounce_ratio,1.8,0.8860000000000002
roc_10_atr_norm_12h,1.8,0.8885714285714288
rvol_ratio_1d,1.8,0.8911428571428572
bbw,1.8,0.8937142857142858
bbw_squeeze,1.8,0.8962857142857142
mfi_slope_1h,1.8,0.8988571428571428
