feature,importance,cumulative_importance
rsi_slope_12h,42.6,0.06085714285714286
rsi_slope_1d,37.0,0.11371428571428571
rsi_slope_4h,30.4,0.15714285714285714
atr_normalized_1d,28.8,0.19828571428571432
sma_20_slope_2h,25.6,0.23485714285714288
rsi_price_divergence_cont_4h,24.4,0.26971428571428574
dist_from_sma_20_12h,23.8,0.30371428571428577
atr_normalized,19.0,0.3308571428571429
rsi_14_12h,12.8,0.3491428571428572
dist_from_sma_50_1d,12.4,0.3668571428571429
dist_from_swing_low_50_12h,12.4,0.38457142857142856
dist_from_s1,12.2,0.40199999999999997
roc_10_atr_norm_12h,12.0,0.4191428571428571
mfi_slope_12h,11.6,0.4357142857142857
sma_20_slope_4h,11.2,0.4517142857142857
dist_from_swing_high_50_4h,11.2,0.4677142857142857
dist_from_swing_high_50_1d,10.6,0.4828571428571429
dist_from_swing_high_50_2h,10.6,0.49800000000000005
rsi_price_divergence_cont_1d,10.6,0.5131428571428572
mfi_14_4h,10.4,0.528
rsi_price_divergence_cont_12h,10.4,0.5428571428571428
dist_from_swing_low_50_1d,10.2,0.5574285714285714
dist_from_r1,10.0,0.5717142857142857
nearest_resistance_strength,9.6,0.5854285714285714
dist_from_bullish_ob,9.4,0.5988571428571429
roc_5_atr_norm_12h,8.6,0.6111428571428572
resistance_touch_count,8.4,0.6231428571428571
rsi_slope_2h,8.4,0.6351428571428571
roc_10_atr_norm_1d,8.4,0.647142857142857
r1,8.2,0.6588571428571428
sma_20_slope_1h,8.0,0.6702857142857142
dist_from_swing_high_50_12h,7.8,0.6814285714285714
dist_from_swing_high_50,7.4,0.6919999999999998
dist_from_sma_50_12h,7.0,0.7019999999999998
sr_proximity,6.8,0.7117142857142856
dist_from_sma_50_2h,6.6,0.7211428571428571
mfi_14_1d,6.4,0.7302857142857142
dist_from_bearish_ob,6.2,0.7391428571428571
net_buy_sell_pressure,6.2,0.748
sma_50_slope,6.0,0.7565714285714286
vpt_ma_20,5.8,0.7648571428571428
dist_from_swing_low_50,5.6,0.7728571428571429
mfi_slope_4h,5.6,0.7808571428571429
dist_from_swing_low_50_4h,5.2,0.7882857142857144
rvol_ratio_1d,5.0,0.7954285714285715
sma_20_slope_12h,4.6,0.8020000000000002
obv,4.6,0.8085714285714287
vpt,4.4,0.814857142857143
dist_from_swing_low_50_2h,4.4,0.8211428571428573
sma_50_slope_1d,4.2,0.8271428571428573
rvol_ratio_1h,4.2,0.8331428571428574
obv_ma_20,4.2,0.8391428571428574
ad_line_ma_20,4.2,0.8451428571428575
mfi_slope_1d,4.0,0.8508571428571432
resistance_bounce_ratio,4.0,0.856571428571429
dist_from_swing_high_50_1h,4.0,0.8622857142857147
rvol_ratio_12h,3.8,0.867714285714286
ad_line,3.6,0.8728571428571432
dist_from_vwap,3.6,0.8780000000000003
double_top_candles_between,3.6,0.8831428571428576
rvol_ratio_4h,3.6,0.8882857142857147
dist_from_swing_low_50_1h,3.4,0.8931428571428576
tr_percentile,3.4,0.8980000000000004
double_top_strength,3.4,0.9028571428571431
nearest_support_strength,3.2,0.9074285714285718
above_sma_50_1h,3.2,0.9120000000000005
adx_14,3.2,0.916571428571429
rvol_ratio_2h,3.0,0.9208571428571434
above_sma_100_2h,3.0,0.9251428571428577
mfi_14_2h,2.6,0.9288571428571434
vwap_distance_weighted,2.6,0.9325714285714292
rvol_ratio,2.4,0.9360000000000005
mfi_14_12h,2.2,0.9391428571428577
double_bottom_candles_between,2.2,0.942285714285715
rsi_14_4h,2.0,0.9451428571428578
bars_since_last_ob,2.0,0.9480000000000007
resistance_strength,1.8,0.9505714285714292
rsi_volatility,1.6,0.9528571428571435
rsi_price_divergence_cont_2h,1.6,0.9551428571428578
support_touch_count,1.6,0.9574285714285722
bbw_squeeze,1.6,0.9597142857142864
trend_alignment_score,1.4,0.9617142857142864
roc_10_atr_norm_4h,1.4,0.9637142857142864
hl_spread,1.4,0.9657142857142864
above_sma_100,1.4,0.9677142857142863
support_bounce_ratio,1.2,0.9694285714285721
buy_sell_ratio_ma20,1.2,0.9711428571428579
buy_sell_imbalance_20,1.2,0.9728571428571436
rsi_14,1.2,0.9745714285714294
higher_lows_count_20,1.0,0.9760000000000009
above_sma_50,1.0,0.9774285714285723
above_sma_100_1h,1.0,0.9788571428571438
above_sma_20_1d,0.8,0.9800000000000008
support_strength,0.8,0.9811428571428579
hidden_divergence,0.8,0.982285714285715
vwap_rsi_interaction,0.8,0.9834285714285721
dist_from_sma_20,0.8,0.9845714285714291
sr_strength,0.6,0.985428571428572
double_bottom_strength,0.6,0.9862857142857149
volatility_clustering,0.6,0.9871428571428578
resistance_volume_interaction,0.6,0.9880000000000007
near_swing_high_alignment,0.6,0.9888571428571435
roc_10_atr_norm_1h,0.6,0.9897142857142864
double_bottom_recency,0.6,0.9905714285714293
dist_from_sma_20_1h,0.4,0.9911428571428579
mfi_trend_adjusted,0.4,0.9917142857142864
liquidity_void_depth,0.4,0.992285714285715
price_range,0.4,0.9928571428571435
cumulative_delta,0.4,0.993428571428572
momentum_quality_score,0.4,0.9940000000000005
dist_from_nearest_resistance_pivot,0.4,0.9945714285714291
mfi_14_1h,0.4,0.9951428571428577
higher_highs_count_20,0.2,0.995428571428572
volume_delta_negative,0.2,0.9957142857142863
momentum_alignment_score,0.2,0.9960000000000007
bbw,0.2,0.9962857142857151
tick_persistence,0.2,0.9965714285714294
cmf_20,0.2,0.9968571428571438
above_sma_20_2h,0.2,0.9971428571428581
momentum_strength_score,0.2,0.9974285714285724
trend_structure_score,0.2,0.9977142857142868
volume_per_price_unit,0.2,0.9980000000000012
pivot_volume_interaction,0.2,0.9982857142857156
sma_20_slope,0.2,0.9985714285714299
volatility_regime,0.2,0.9988571428571442
roc_10_atr_norm_2h,0.2,0.9991428571428586
testing_bearish_ob,0.2,0.9994285714285729
above_sma_100_4h,0.2,0.9997142857142872
bars_since_last_sweep,0.2,1.0000000000000016
near_swing_low_alignment,0.0,1.0000000000000016
mtf_trend_alignment_score,0.0,1.0000000000000016
above_sma_20_1h,0.0,1.0000000000000016
dist_from_nearest_support_pivot,0.0,1.0000000000000016
above_sma_100_1d,0.0,1.0000000000000016
mfi_slope_1h,0.0,1.0000000000000016
ob_with_fvg,0.0,1.0000000000000016
high_conviction_sweep,0.0,1.0000000000000016
structure_aligned_ob,0.0,1.0000000000000016
fvg_sweep_confluence,0.0,1.0000000000000016
bbw_volume_interaction,0.0,1.0000000000000016
volatility_momentum,0.0,1.0000000000000016
rsi_volume_interaction,0.0,1.0000000000000016
range_to_body,0.0,1.0000000000000016
multi_tf_alignment,0.0,1.0000000000000016
bullish_volume_count,0.0,1.0000000000000016
volume_regime_score,0.0,1.0000000000000016
multi_tf_momentum_strength,0.0,1.0000000000000016
buy_sell_ratio,0.0,1.0000000000000016
volume_change_rate,0.0,1.0000000000000016
volume_acceleration_ma,0.0,1.0000000000000016
volume_z_score,0.0,1.0000000000000016
large_buy_trade,0.0,1.0000000000000016
large_sell_trade,0.0,1.0000000000000016
tape_speed_20,0.0,1.0000000000000016
momentum_volume_divergence,0.0,1.0000000000000016
price_volume_trend,0.0,1.0000000000000016
avg_trade_size_norm,0.0,1.0000000000000016
volume_ma_ratio_short,0.0,1.0000000000000016
tick_direction,0.0,1.0000000000000016
volume_delta,0.0,1.0000000000000016
volume_delta_positive,0.0,1.0000000000000016
aggressive_sell_volume,0.0,1.0000000000000016
volume_vs_ma_20,0.0,1.0000000000000016
lower_wick_size,0.0,1.0000000000000016
rsi_acceleration,0.0,1.0000000000000016
rsi_momentum,0.0,1.0000000000000016
rsi_spread,0.0,1.0000000000000016
three_white_soldiers,0.0,1.0000000000000016
doji,0.0,1.0000000000000016
hammer,0.0,1.0000000000000016
engulfing,0.0,1.0000000000000016
upper_wick_size,0.0,1.0000000000000016
above_sma_50_12h,0.0,1.0000000000000016
above_sma_20_12h,0.0,1.0000000000000016
above_sma_100_12h,0.0,1.0000000000000016
body_to_wick_ratio,0.0,1.0000000000000016
rsi_slope_1h,0.0,1.0000000000000016
rsi_price_divergence_cont_1h,0.0,1.0000000000000016
roc_5_atr_norm_1h,0.0,1.0000000000000016
is_pivot_low,0.0,1.0000000000000016
is_pivot_high,0.0,1.0000000000000016
resistance_with_4h_downtrend,0.0,1.0000000000000016
support_with_4h_uptrend,0.0,1.0000000000000016
testing_support,0.0,1.0000000000000016
testing_resistance,0.0,1.0000000000000016
effective_spread_proxy,0.0,1.0000000000000016
price_change_autocorr,0.0,1.0000000000000016
engulfing_volume,0.0,1.0000000000000016
momentum_trend_strength,0.0,1.0000000000000016
volume_volatility_interaction,0.0,1.0000000000000016
choppiness_14,0.0,1.0000000000000016
trend_consistency_20,0.0,1.0000000000000016
trend_consistency_10,0.0,1.0000000000000016
is_trending,0.0,1.0000000000000016
obv_divergence,0.0,1.0000000000000016
mfi_14,0.0,1.0000000000000016
rsi_price_divergence,0.0,1.0000000000000016
momentum_accel,0.0,1.0000000000000016
roc_10_atr_adj,0.0,1.0000000000000016
stoch_momentum,0.0,1.0000000000000016
roc_5_atr_adj,0.0,1.0000000000000016
stoch_k,0.0,1.0000000000000016
above_sma_20,0.0,1.0000000000000016
price_accel_3,0.0,1.0000000000000016
sr_action,0.0,1.0000000000000016
support_momentum_interaction,0.0,1.0000000000000016
resistance_momentum_interaction,0.0,1.0000000000000016
testing_resistance_with_volume,0.0,1.0000000000000016
testing_support_with_volume,0.0,1.0000000000000016
support_volume_interaction,0.0,1.0000000000000016
closed_near_low,0.0,1.0000000000000016
three_line_strike,0.0,1.0000000000000016
closed_near_high,0.0,1.0000000000000016
gap_down,0.0,1.0000000000000016
gap_up,0.0,1.0000000000000016
support_break_momentum,0.0,1.0000000000000016
morning_evening_star,0.0,1.0000000000000016
near_resistance_100,0.0,1.0000000000000016
resistance_break_momentum,0.0,1.0000000000000016
hammer_volume,0.0,1.0000000000000016
hl_spread_normalized,0.0,1.0000000000000016
near_support_100,0.0,1.0000000000000016
close_position,0.0,1.0000000000000016
fvg_signal,0.0,1.0000000000000016
multi_factor_sentiment,0.0,1.0000000000000016
volume_confirmation_score,0.0,1.0000000000000016
momentum_consensus,0.0,1.0000000000000016
rsi_vol_concordance,0.0,1.0000000000000016
money_flow_ratio,0.0,1.0000000000000016
breakout_signal,0.0,1.0000000000000016
vol_confirmed_momentum,0.0,1.0000000000000016
trend_acceleration,0.0,1.0000000000000016
vol_weighted_roc_5,0.0,1.0000000000000016
momentum_strength_ratio,0.0,1.0000000000000016
vol_price_alignment,0.0,1.0000000000000016
order_block,0.0,1.0000000000000016
liquidity_void_strength,0.0,1.0000000000000016
order_block_strength,0.0,1.0000000000000016
recent_fvg_bullish,0.0,1.0000000000000016
liquidity_sweep,0.0,1.0000000000000016
liquidity_sweep_strength,0.0,1.0000000000000016
liquidity_sweep_with_volume,0.0,1.0000000000000016
in_liquidity_void,0.0,1.0000000000000016
fvg_size,0.0,1.0000000000000016
recent_fvg_bearish,0.0,1.0000000000000016
oversold_overbought_signal,0.0,1.0000000000000016
market_state_indicator,0.0,1.0000000000000016
momentum_regime,0.0,1.0000000000000016
mfi_slope_2h,0.0,1.0000000000000016
above_sma_20_4h,0.0,1.0000000000000016
testing_bullish_ob,0.0,1.0000000000000016
ict_composite_score,0.0,1.0000000000000016
market_structure_direction,0.0,1.0000000000000016
bars_since_mss,0.0,1.0000000000000016
market_structure_shift,0.0,1.0000000000000016
institutional_candle_strength,0.0,1.0000000000000016
institutional_candle,0.0,1.0000000000000016
breaker_strength,0.0,1.0000000000000016
breaker_block,0.0,1.0000000000000016
support_flip_signal,0.0,1.0000000000000016
resistance_flip_signal,0.0,1.0000000000000016
recent_ict_activity,0.0,1.0000000000000016
bars_since_last_fvg,0.0,1.0000000000000016
ict_composite_score_ma_10,0.0,1.0000000000000016
double_top_at_resistance,0.0,1.0000000000000016
double_bottom_at_support,0.0,1.0000000000000016
double_top_recency,0.0,1.0000000000000016
