feature,importance,cumulative_importance
rsi_slope_12h,60.6,0.08657142857142858
atr_normalized_1d,44.0,0.1494285714285714
rsi_slope_4h,33.8,0.19771428571428568
dist_from_sma_20_12h,28.2,0.23799999999999996
dist_from_r1,24.6,0.2731428571428571
rsi_slope_1d,23.4,0.30657142857142855
atr_normalized,19.4,0.33428571428571424
rsi_price_divergence_cont_4h,17.6,0.3594285714285714
sma_20_slope_2h,15.2,0.38114285714285706
nearest_support_strength,12.6,0.39914285714285713
rsi_price_divergence_cont_1d,12.4,0.4168571428571428
dist_from_swing_low_50_1h,11.8,0.43371428571428566
dist_from_s1,11.6,0.4502857142857143
rsi_slope_2h,11.2,0.46628571428571425
roc_10_atr_norm_1d,11.0,0.482
roc_5_atr_norm_12h,10.8,0.4974285714285714
sma_20_slope_4h,10.4,0.5122857142857142
rsi_price_divergence_cont_12h,10.2,0.5268571428571428
rvol_ratio_1h,9.6,0.5405714285714286
sma_20_slope_1h,9.4,0.5539999999999999
dist_from_bearish_ob,9.2,0.5671428571428571
support_touch_count,9.2,0.5802857142857142
mfi_14_2h,9.2,0.5934285714285713
dist_from_swing_low_50,9.0,0.6062857142857142
roc_10_atr_norm_12h,8.8,0.6188571428571428
dist_from_sma_50_12h,8.6,0.6311428571428571
dist_from_swing_low_50_12h,8.2,0.6428571428571428
dist_from_swing_high_50,7.6,0.6537142857142857
dist_from_sma_50_2h,7.6,0.6645714285714286
dist_from_swing_high_50_4h,7.6,0.6754285714285715
rsi_14_12h,7.6,0.6862857142857144
vpt,7.4,0.6968571428571428
dist_from_swing_low_50_4h,7.2,0.7071428571428572
cumulative_delta,6.6,0.7165714285714286
dist_from_swing_high_50_2h,6.4,0.7257142857142858
dist_from_swing_low_50_1d,6.4,0.7348571428571429
sma_50_slope,6.2,0.7437142857142858
mfi_14_1d,6.2,0.7525714285714287
dist_from_swing_high_50_12h,6.2,0.7614285714285716
r1,6.0,0.7700000000000001
rvol_ratio_4h,5.8,0.7782857142857144
tr_percentile,5.6,0.7862857142857144
sma_50_slope_1d,5.4,0.7940000000000002
above_sma_50,5.2,0.8014285714285716
vpt_ma_20,5.2,0.808857142857143
rvol_ratio_12h,5.0,0.8160000000000003
rsi_14_4h,4.8,0.8228571428571431
dist_from_swing_high_50_1h,4.8,0.8297142857142858
dist_from_bullish_ob,4.6,0.8362857142857144
mfi_slope_12h,4.6,0.842857142857143
adx_14,4.2,0.8488571428571431
obv_ma_20,4.0,0.8545714285714288
roc_10_atr_norm_1h,4.0,0.8602857142857145
mfi_slope_1d,3.6,0.8654285714285717
above_sma_100,3.4,0.8702857142857146
double_top_candles_between,3.2,0.8748571428571431
resistance_touch_count,3.0,0.8791428571428574
sma_20_slope_12h,2.8,0.8831428571428573
dist_from_sma_50_1d,2.8,0.8871428571428573
volatility_clustering,2.8,0.8911428571428572
mfi_14_12h,2.6,0.894857142857143
mfi_slope_4h,2.6,0.8985714285714287
above_sma_100_2h,2.4,0.9020000000000001
support_bounce_ratio,2.4,0.9054285714285715
rvol_ratio,2.4,0.9088571428571429
dist_from_swing_low_50_2h,2.4,0.9122857142857144
tape_speed_20,2.4,0.9157142857142857
mfi_14_4h,2.2,0.9188571428571429
roc_10_atr_norm_4h,2.2,0.9220000000000002
dist_from_swing_high_50_1d,2.2,0.9251428571428574
trend_alignment_score,2.2,0.9282857142857145
vwap_distance_weighted,2.2,0.9314285714285717
obv,2.2,0.9345714285714289
rsi_14,2.0,0.9374285714285718
dist_from_vwap,2.0,0.9402857142857147
double_bottom_strength,2.0,0.9431428571428575
ad_line_ma_20,2.0,0.9460000000000004
rvol_ratio_2h,2.0,0.9488571428571433
mfi_14_1h,1.8,0.9514285714285717
buy_sell_ratio_ma20,1.8,0.9540000000000003
double_top_strength,1.6,0.9562857142857146
above_sma_100_1h,1.6,0.9585714285714289
bbw,1.4,0.9605714285714289
nearest_resistance_strength,1.4,0.9625714285714289
rvol_ratio_1d,1.4,0.9645714285714287
rsi_price_divergence_cont_2h,1.4,0.9665714285714287
bars_since_last_ob,1.4,0.9685714285714287
hidden_divergence,1.2,0.9702857142857145
resistance_bounce_ratio,1.0,0.971714285714286
mfi_slope_2h,1.0,0.9731428571428574
sr_proximity,1.0,0.9745714285714288
rsi_slope_1h,1.0,0.9760000000000002
price_range,1.0,0.9774285714285716
resistance_strength,1.0,0.9788571428571431
above_sma_50_1h,0.8,0.9800000000000002
cmf_20,0.8,0.9811428571428572
volatility_regime,0.8,0.9822857142857143
sma_20_slope,0.8,0.9834285714285714
double_bottom_candles_between,0.8,0.9845714285714284
dist_from_nearest_support_pivot,0.8,0.9857142857142855
ad_line,0.6,0.9865714285714284
choppiness_14,0.6,0.9874285714285713
dist_from_sma_20_1h,0.6,0.9882857142857142
volume_delta_negative,0.6,0.9891428571428571
net_buy_sell_pressure,0.6,0.99
vol_weighted_roc_5,0.4,0.9905714285714285
above_sma_100_4h,0.4,0.9911428571428571
above_sma_100_1d,0.4,0.9917142857142857
vwap_rsi_interaction,0.4,0.9922857142857141
testing_bearish_ob,0.4,0.9928571428571427
double_top_recency,0.4,0.9934285714285712
market_structure_direction,0.4,0.9939999999999998
liquidity_void_depth,0.4,0.9945714285714283
rsi_price_divergence_cont_1h,0.4,0.9951428571428569
volume_delta_positive,0.4,0.9957142857142854
obv_divergence,0.2,0.9959999999999998
volume_volatility_interaction,0.2,0.9962857142857141
above_sma_20_1d,0.2,0.9965714285714284
mtf_trend_alignment_score,0.2,0.9968571428571428
momentum_alignment_score,0.2,0.9971428571428571
bbw_squeeze,0.2,0.9974285714285714
volume_acceleration_ma,0.2,0.9977142857142859
volume_per_price_unit,0.2,0.9980000000000002
double_bottom_at_support,0.2,0.9982857142857146
roc_10_atr_adj,0.2,0.9985714285714289
dist_from_sma_20,0.2,0.9988571428571432
momentum_strength_score,0.2,0.9991428571428576
above_sma_20_2h,0.2,0.999428571428572
bars_since_last_sweep,0.2,0.9997142857142863
support_volume_interaction,0.2,1.0000000000000007
above_sma_100_12h,0.0,1.0000000000000007
near_swing_low_alignment,0.0,1.0000000000000007
near_swing_high_alignment,0.0,1.0000000000000007
structure_aligned_ob,0.0,1.0000000000000007
is_pivot_low,0.0,1.0000000000000007
dist_from_nearest_resistance_pivot,0.0,1.0000000000000007
above_sma_20_1h,0.0,1.0000000000000007
roc_5_atr_norm_1h,0.0,1.0000000000000007
mfi_slope_1h,0.0,1.0000000000000007
above_sma_20,0.0,1.0000000000000007
bbw_volume_interaction,0.0,1.0000000000000007
volatility_momentum,0.0,1.0000000000000007
pivot_volume_interaction,0.0,1.0000000000000007
range_to_body,0.0,1.0000000000000007
rsi_volume_interaction,0.0,1.0000000000000007
multi_tf_alignment,0.0,1.0000000000000007
bullish_volume_count,0.0,1.0000000000000007
volume_change_rate,0.0,1.0000000000000007
volume_regime_score,0.0,1.0000000000000007
multi_tf_momentum_strength,0.0,1.0000000000000007
volume_z_score,0.0,1.0000000000000007
large_sell_trade,0.0,1.0000000000000007
large_buy_trade,0.0,1.0000000000000007
momentum_volume_divergence,0.0,1.0000000000000007
buy_sell_ratio,0.0,1.0000000000000007
volume_ma_ratio_short,0.0,1.0000000000000007
tick_persistence,0.0,1.0000000000000007
aggressive_sell_volume,0.0,1.0000000000000007
buy_sell_imbalance_20,0.0,1.0000000000000007
volume_delta,0.0,1.0000000000000007
avg_trade_size_norm,0.0,1.0000000000000007
hammer,0.0,1.0000000000000007
rsi_acceleration,0.0,1.0000000000000007
doji,0.0,1.0000000000000007
three_white_soldiers,0.0,1.0000000000000007
higher_highs_count_20,0.0,1.0000000000000007
momentum_quality_score,0.0,1.0000000000000007
higher_lows_count_20,0.0,1.0000000000000007
trend_structure_score,0.0,1.0000000000000007
price_volume_trend,0.0,1.0000000000000007
tick_direction,0.0,1.0000000000000007
lower_wick_size,0.0,1.0000000000000007
volume_vs_ma_20,0.0,1.0000000000000007
engulfing,0.0,1.0000000000000007
rsi_volatility,0.0,1.0000000000000007
rsi_momentum,0.0,1.0000000000000007
rsi_spread,0.0,1.0000000000000007
body_to_wick_ratio,0.0,1.0000000000000007
upper_wick_size,0.0,1.0000000000000007
high_conviction_sweep,0.0,1.0000000000000007
fvg_sweep_confluence,0.0,1.0000000000000007
resistance_with_4h_downtrend,0.0,1.0000000000000007
is_pivot_high,0.0,1.0000000000000007
support_with_4h_uptrend,0.0,1.0000000000000007
above_sma_20_12h,0.0,1.0000000000000007
above_sma_50_12h,0.0,1.0000000000000007
testing_support,0.0,1.0000000000000007
hammer_volume,0.0,1.0000000000000007
engulfing_volume,0.0,1.0000000000000007
momentum_trend_strength,0.0,1.0000000000000007
trend_consistency_20,0.0,1.0000000000000007
trend_consistency_10,0.0,1.0000000000000007
is_trending,0.0,1.0000000000000007
hl_spread,0.0,1.0000000000000007
hl_spread_normalized,0.0,1.0000000000000007
near_resistance_100,0.0,1.0000000000000007
mfi_14,0.0,1.0000000000000007
mfi_trend_adjusted,0.0,1.0000000000000007
rsi_price_divergence,0.0,1.0000000000000007
stoch_momentum,0.0,1.0000000000000007
roc_5_atr_adj,0.0,1.0000000000000007
stoch_k,0.0,1.0000000000000007
momentum_accel,0.0,1.0000000000000007
price_accel_3,0.0,1.0000000000000007
sr_action,0.0,1.0000000000000007
sr_strength,0.0,1.0000000000000007
support_momentum_interaction,0.0,1.0000000000000007
testing_support_with_volume,0.0,1.0000000000000007
resistance_momentum_interaction,0.0,1.0000000000000007
testing_resistance_with_volume,0.0,1.0000000000000007
resistance_volume_interaction,0.0,1.0000000000000007
morning_evening_star,0.0,1.0000000000000007
closed_near_low,0.0,1.0000000000000007
closed_near_high,0.0,1.0000000000000007
gap_down,0.0,1.0000000000000007
three_line_strike,0.0,1.0000000000000007
gap_up,0.0,1.0000000000000007
resistance_break_momentum,0.0,1.0000000000000007
support_break_momentum,0.0,1.0000000000000007
price_change_autocorr,0.0,1.0000000000000007
close_position,0.0,1.0000000000000007
near_support_100,0.0,1.0000000000000007
support_strength,0.0,1.0000000000000007
effective_spread_proxy,0.0,1.0000000000000007
testing_resistance,0.0,1.0000000000000007
rsi_vol_concordance,0.0,1.0000000000000007
market_state_indicator,0.0,1.0000000000000007
momentum_regime,0.0,1.0000000000000007
money_flow_ratio,0.0,1.0000000000000007
oversold_overbought_signal,0.0,1.0000000000000007
momentum_strength_ratio,0.0,1.0000000000000007
vol_price_alignment,0.0,1.0000000000000007
trend_acceleration,0.0,1.0000000000000007
momentum_consensus,0.0,1.0000000000000007
vol_confirmed_momentum,0.0,1.0000000000000007
order_block_strength,0.0,1.0000000000000007
order_block,0.0,1.0000000000000007
bars_since_mss,0.0,1.0000000000000007
market_structure_shift,0.0,1.0000000000000007
institutional_candle,0.0,1.0000000000000007
institutional_candle_strength,0.0,1.0000000000000007
multi_factor_sentiment,0.0,1.0000000000000007
volume_confirmation_score,0.0,1.0000000000000007
roc_10_atr_norm_2h,0.0,1.0000000000000007
above_sma_20_4h,0.0,1.0000000000000007
breakout_signal,0.0,1.0000000000000007
