feature,importance,cumulative_importance
mfi_slope_4h,20.6,0.02964028776978418
dist_from_s1,15.8,0.05237410071942448
sma_20_slope_4h,15.6,0.07482014388489211
roc_5_atr_norm_12h,15.2,0.0966906474820144
atr_normalized_1d,15.0,0.11827338129496405
rsi_price_divergence_cont_4h,15.0,0.1398561151079137
dist_from_bullish_ob,15.0,0.16143884892086335
double_bottom_candles_between,15.0,0.18302158273381297
dist_from_bearish_ob,14.4,0.20374100719424462
mfi_14_4h,13.6,0.22330935251798564
dist_from_r1,12.8,0.241726618705036
dist_from_swing_low_50_12h,12.8,0.2601438848920864
sma_50_slope_4h,12.4,0.27798561151079143
nearest_support_strength,12.0,0.29525179856115114
double_top_strength,11.8,0.31223021582733823
atr_normalized_4h,11.2,0.3283453237410073
support_strength,10.8,0.34388489208633105
rvol_ratio_1d,10.8,0.35942446043165477
tr_percentile,10.6,0.3746762589928059
rsi_slope_12h,10.4,0.38964028776978427
rvol_ratio_1h,10.2,0.40431654676259
nearest_resistance_strength,10.2,0.4189928057553957
atr_normalized,10.0,0.43338129496402883
sma_50_slope_1d,9.8,0.4474820143884893
bbw,9.6,0.46129496402877707
roc_10_atr_norm_12h,9.6,0.4751079136690649
obv_ma_20,9.4,0.48863309352518
dist_from_swing_low_50_4h,9.0,0.5015827338129497
mfi_slope_1d,8.8,0.514244604316547
support_touch_count,8.8,0.5269064748201441
atr_normalized_1h,8.6,0.5392805755395685
adx_14,8.6,0.551654676258993
double_bottom_strength,8.2,0.5634532374100721
cumulative_sell_pressure,8.2,0.5752517985611513
rsi_slope_1d,7.8,0.5864748201438851
vpt,7.8,0.5976978417266189
rsi_14_4h,7.6,0.6086330935251801
rsi_price_divergence_cont_1d,7.4,0.6192805755395686
mfi_14_1h,7.4,0.6299280575539571
cmf_20,7.2,0.6402877697841729
rvol_ratio_12h,7.2,0.6506474820143887
rsi_volatility,7.0,0.6607194244604319
rsi_14_12h,6.8,0.6705035971223023
double_top_candles_between,6.6,0.6800000000000003
sma_20_slope,6.4,0.6892086330935254
sma_20_slope_1h,6.4,0.6984172661870506
dist_from_swing_high_50,6.0,0.7070503597122304
dist_from_swing_low_50,5.8,0.7153956834532376
roc_10_atr_norm_4h,5.8,0.7237410071942448
roc_10_atr_norm_1d,5.6,0.7317985611510793
vpt_ma_20,5.4,0.7395683453237413
sma_20_slope_1d,5.4,0.7473381294964031
r1,5.2,0.7548201438848924
bbw_squeeze,5.0,0.762014388489209
bullish_volume_count,5.0,0.7692086330935255
price_change_autocorr,4.8,0.7761151079136693
bars_since_last_sweep,4.8,0.7830215827338132
mfi_14_1d,4.8,0.789928057553957
dist_from_swing_high_50_1h,4.8,0.7968345323741007
mfi_14_12h,4.8,0.8037410071942446
buy_sell_ratio_ma20,4.6,0.8103597122302159
rvol_ratio,4.4,0.8166906474820144
mfi_slope_1h,4.4,0.8230215827338129
dist_from_nearest_resistance_pivot,4.4,0.8293525179856115
vwap_momentum,4.2,0.8353956834532374
dist_from_swing_low_50_1d,4.2,0.8414388489208634
trend_strength,3.8,0.8469064748201439
is_pivot_low,3.6,0.8520863309352519
resistance_strength,3.6,0.8572661870503598
higher_highs_count_20,3.4,0.862158273381295
vwap_rsi_interaction,3.4,0.8670503597122302
pivot_volume_interaction,3.4,0.8719424460431654
volume_delta_positive,3.2,0.8765467625899281
volume_acceleration_ma,3.0,0.880863309352518
dist_from_swing_low_50_1h,2.8,0.8848920863309352
sma_50_slope,2.8,0.8889208633093524
momentum_trend_strength,2.8,0.8929496402877697
mfi_trend_adjusted,2.6,0.8966906474820143
trend_alignment_score,2.6,0.900431654676259
ict_composite_score_ma_10,2.6,0.9041726618705036
tape_speed_20,2.6,0.9079136690647482
obv_divergence,2.6,0.9116546762589928
support_bounce_ratio,2.4,0.9151079136690647
volume_at_resistance_ma,2.4,0.9185611510791366
smart_money_flow,2.4,0.9220143884892086
rsi_spread,2.2,0.9251798561151079
rsi_14,2.0,0.9280575539568345
smart_money_flow_ratio,2.0,0.9309352517985612
testing_bearish_ob,2.0,0.9338129496402877
bars_since_last_ob,2.0,0.9366906474820144
obv,1.8,0.9392805755395682
roc_10_atr_norm_1h,1.8,0.9418705035971222
rsi_14_1h,1.8,0.9444604316546761
stoch_k,1.8,0.94705035971223
money_flow_ratio,1.8,0.9496402877697838
dist_from_nearest_support_pivot,1.8,0.9522302158273377
volatility_momentum,1.6,0.954532374100719
rsi_price_divergence,1.4,0.9565467625899277
momentum_10,1.4,0.9585611510791363
double_top_recency,1.4,0.9605755395683448
momentum_strength_score,1.2,0.962302158273381
momentum_strength_ratio,1.2,0.9640287769784169
momentum_alignment_score,1.2,0.9657553956834529
sr_strength,1.2,0.967482014388489
near_swing_low_alignment,1.2,0.969208633093525
double_top_at_resistance,1.2,0.9709352517985611
price_volume_trend,1.2,0.9726618705035971
close_position,1.2,0.9743884892086332
momentum_zscore,1.0,0.9758273381294965
is_pivot_high,1.0,0.9772661870503597
higher_lows_count_20,1.0,0.978705035971223
aggressive_sell_volume,0.8,0.9798561151079137
double_bottom_recency,0.8,0.9810071942446043
bars_since_last_fvg,0.8,0.9821582733812948
effective_spread_proxy,0.6,0.9830215827338129
near_support_100,0.6,0.9838848920863309
trend_consistency_20,0.6,0.9847482014388489
multi_factor_sentiment,0.6,0.9856115107913669
bbw_volume_interaction,0.6,0.9864748201438849
stoch_momentum,0.6,0.987338129496403
near_swing_high_alignment,0.6,0.988201438848921
volume_volatility_interaction,0.4,0.9887769784172663
body_to_wick_ratio,0.4,0.9893525179856115
roc_5_atr_adj,0.4,0.9899280575539569
volume_regime_score,0.4,0.9905035971223021
multi_tf_alignment,0.4,0.9910791366906474
multi_tf_momentum_strength,0.4,0.9916546762589927
