symbol,orderType,leverage,updatedTime,side,orderId,closedPnl,openFee,closeFee,avgEntryPrice,qty,cumEntryValue,createdTime,orderPrice,closedSize,avgExitPrice,execType,fillCount,cumExitValue,date,outcome
HBARUSDT,Market,20.0,1762152688780,Sell,a03a1bb8-b312-49b9-80b5-658c2393c73a,0.02159386,0.0020107,0.00554544,0.18279,55.0,10.05345,1762152064979,0.17415,55,0.18332,Trade,2,10.0826,2025-11-03 06:41:04.979,WIN
LINKUSDT,Market,20.0,1762154686315,Sell,1546b1a0-1b6c-4c21-a7ba-cc22de6ae33f,0.09773505,0.00192192,0.00534303,16.016,0.6,9.6096,1762153325111,15.382,0.6,16.191,Trade,1,9.7146,2025-11-03 07:02:05.111,WIN
LINKUSDT,Market,20.0,1762154056431,Sell,5ea5bd4b-866d-42ef-96ba-0e8ef577e2e5,0.0467631,0.00192192,0.00531498,16.016,0.6,9.6096,1762154056428,15.306,0.6,16.106,Trade,1,9.6636,2025-11-03 07:14:16.428,WIN
HBARUSDT,Market,20.0,1762172336508,Sell,8027e86c-b74b-4cbc-b8fd-8b9d602406a3,0.30002199,0.00395061,0.0110374,0.18122,109.0,19.75298,1762163466248,0.17491,109,0.18411,Trade,1,20.06799,2025-11-03 09:51:06.248,WIN
LINKUSDT,Market,20.0,1762175504285,Sell,b087db0e-b4b3-486a-9f71-097f11492279,-0.00354924,0.00382488,0.01052436,15.937,1.2,19.1244,1762165217273,15.149,1.2,15.946,Trade,1,19.1352,2025-11-03 10:20:17.273,LOSS
SOLUSDT,Market,20.0,1762167825342,Sell,d9b2f1af-6781-4e7c-9e1b-f98a88daf55f,0.09376815,0.00958485,0.009647,174.27,0.1,17.427,1762167825339,166.64,0.1,175.4,Trade,1,17.54,2025-11-03 11:03:45.339,WIN
HBARUSDT,Market,20.0,1762168579187,Sell,2a0271c1-b636-4e72-af6c-c584bb0eac02,0.16602574,0.00395059,0.01096367,0.18122,109.0,19.75298,1762168579183,0.17381,109,0.18288,Trade,3,19.93392,2025-11-03 11:16:19.183,WIN
LINKUSDT,Market,20.0,1762168585842,Sell,bdce6a45-e67a-4c0f-a67d-3ac8a7e89246,0.13437486,0.00382488,0.01060026,15.937,1.2,19.1244,1762168585839,15.258,1.2,16.061,Trade,1,19.2732,2025-11-03 11:16:25.839,WIN
NEARUSDT,Market,20.0,1762172480369,Sell,3e12af3c-4dc3-418f-a397-992782683634,0.11977987,0.00204,0.00568013,2.0,5.1,10.2,1762168942799,1.926,5.1,2.025,Trade,1,10.3275,2025-11-03 11:22:22.799,WIN
NEARUSDT,Market,20.0,1762171969752,Sell,b3dac4fe-47b7-4a6a-af75-08f4ca74f693,0.05746425,0.002,0.00553575,2.0,5.0,10,1762171969748,1.913,5,2.013,Trade,1,10.065,2025-11-03 12:12:49.748,WIN
SOLUSDT,Market,20.0,1762172347053,Sell,0ef7e785-601a-4758-959f-52b1d61763ce,0.09179325,0.0035064,0.00970035,175.32,0.1,17.532,1762172347050,167.57,0.1,176.37,Trade,1,17.637,2025-11-03 12:19:07.050,WIN
LINKUSDT,Market,20.0,1762178825383,Buy,d2d95c85-d11b-4356-8739-2d26684ba671,-0.00671488,0.00195072,0.00536416,16.256,0.6,9.7536,1762178527028,17.066,0.6,16.255,Trade,2,9.753,2025-11-03 14:02:07.028,LOSS
LINKUSDT,Market,20.0,1762178602044,Buy,66804f73-9c40-4ec6-a254-067d450514d9,0.06430564,0.00227584,0.00621852,16.256,0.7,11.3792,1762178602040,16.961,0.7,16.152,Trade,1,11.3064,2025-11-03 14:03:22.040,WIN
HBARUSDT,Market,20.0,1762182217582,Buy,96bb200b-a2c3-4014-a970-f944e8913e4e,0.1080061,0.00201532,0.00547858,0.18321,55.0,10.07655,1762178729629,0.19017,55,0.18111,Trade,1,9.96105,2025-11-03 14:05:29.629,WIN
HBARUSDT,Market,20.0,1762179930573,Buy,7e36c62f-ef31-477c-a4a1-24018f64f582,0.05674059,0.00205195,0.00560746,0.18321,56.0,10.25976,1762179930569,0.1912,56,0.18206,Trade,2,10.19536,2025-11-03 14:25:30.569,WIN
LINKUSDT,Market,20.0,1762183583242,Buy,ccaeea44-ec94-4321-9e3b-32994b7e98f4,0.3282329,0.00421499,0.01140211,16.2115,1.3,21.07495,1762180704625,16.749,1.3,15.947,Trade,1,20.7311,2025-11-03 14:38:24.625,WIN
LINKUSDT,Market,20.0,1762182985157,Buy,6cbe468f-3a55-442d-869d-8c71f4eedb3b,0.14943462,0.00421499,0.01150039,16.2115,1.3,21.07495,1762182985153,16.893,1.3,16.08446154,Trade,2,20.9098,2025-11-03 15:16:25.153,WIN
SOLUSDT,Market,20.0,1762183017976,Buy,b3eaa162-d7c4-423e-bb94-22718ac5e971,0.10887985,0.0035166,0.00960355,175.83,0.1,17.583,1762183017973,183.36,0.1,174.61,Trade,1,17.461,2025-11-03 15:16:57.973,WIN
LINKUSDT,Market,20.0,1762184004125,Buy,a4781dc8-b54f-4492-89df-4929d6b5975e,0.37115572,0.0078572,0.02138708,15.11,2.6,39.286,1762183904533,15.712,2.6,14.956,Trade,1,38.8856,2025-11-03 15:31:44.533,WIN
ETHUSDT,Market,20.0,1762184006385,Sell,1b1adb40-fc5a-4523-b03f-de0f55aa03b2,-3.79806171,0.01502374,0.03924954,3755.935,0.02,75.1187,1762184006381,3586.07,0.02,3568.14,BustTrade,1,71.3628,2025-11-03 15:33:26.381,LOSS
SOLUSDT,Market,20.0,1762184599337,Buy,e5d0aa68-b9ca-45b5-bde5-925fde04bc5b,0.13489375,0.0033833,0.00922295,169.165,0.1,16.9165,1762184184397,176.07,0.1,167.69,Trade,1,16.769,2025-11-03 15:36:24.397,WIN
LINKUSDT,Market,20.0,1762184800240,Buy,e470861f-3c23-4cd3-99a3-7af7e2bdcac1,0.1341363,0.001851,0.0050127,15.425,0.6,9.255,1762184283839,15.951,0.6,15.19,Trade,1,9.114,2025-11-03 15:38:03.839,WIN
SOLUSDT,Market,20.0,1762184565844,Buy,2f159eec-c97c-4f07-8348-c11e29084f21,0.0718591,0.0033833,0.0092576,169.165,0.1,16.9165,1762184565840,176.77,0.1,168.32,Trade,1,16.832,2025-11-03 15:42:45.840,WIN
LINKUSDT,Market,20.0,1762184589716,Buy,c0baa14d-e754-4fb3-9054-efbfe3833c6b,0.11306848,0.0021595,0.00587202,15.425,0.7,10.7975,1762184589713,16.017,0.7,15.252,Trade,1,10.6764,2025-11-03 15:43:09.713,WIN
TRXUSDT,Market,20.0,1762203264947,Sell,9d1adc4d-72f0-4de3-9d9d-626a700c3936,-0.93934832,0.01179225,0.03193607,0.28483667,207.0,58.96119,1762188921623,0.2706,207,0.28051,Trade,1,58.06557,2025-11-03 16:55:21.623,LOSS
HBARUSDT,Market,20.0,1762191505708,Buy,38452a91-bd4f-4b72-b998-08263bcca4a4,-0.00263657,0.00207184,0.00569473,0.18174,57.0,10.35918,1762190479014,0.19073,57,0.18165,Trade,1,10.35405,2025-11-03 17:21:19.014,LOSS
HBARUSDT,Market,20.0,1762190628680,Buy,c1583d18-35df-4d91-bb41-95198117f384,0.0472771,0.00203549,0.00556741,0.18174,56.0,10.17744,1762190628676,0.18976,56,0.18076,Trade,1,10.12256,2025-11-03 17:23:48.676,WIN
TRXUSDT,Market,20.0,1762234317854,Sell,99ceba5a-784e-41b0-9f79-9b785ced0aab,-0.01959877,0.00731864,0.02012132,0.281485,130.0,36.59305,1762204035761,0.26742,130,0.28141676,Trade,5,36.58418,2025-11-03 21:07:15.761,LOSS
HBARUSDT,Market,20.0,1762216032750,Sell,14cb0dcb-b3b1-45a5-8830-268d44113a82,-0.03523732,0.0076337,0.02098842,0.174285,219.0,38.168415,1762210562680,0.16558,219,0.17425,Trade,1,38.16075,2025-11-03 22:56:02.680,LOSS
HBARUSDT,Market,20.0,1762212024239,Sell,4302ab13-d315-44d3-8b55-1fb106b2023a,0.00436867,0.00017428,0.00048205,0.174285,5.0,0.871425,1762212024235,0.16654,5,0.17529,Trade,1,0.87645,2025-11-03 23:20:24.235,WIN
LINKUSDT,Market,20.0,1762212853189,Sell,f0e52006-10c7-4a5f-8618-5750e448952e,0.20557836,0.00789126,0.02183038,15.1755,2.6,39.4563,1762212853185,14.502,2.6,15.266,Trade,1,39.6916,2025-11-03 23:34:13.185,WIN
DOGEUSDT,Market,20.0,1762219247944,Buy,bb4acaef-c9bf-4206-9717-816697673602,-0.81421104,0.01184744,0.0330036,0.16733666,354.0,59.23718,1762216397018,0.1757,354,0.16951,Trade,1,60.00654,2025-11-04 00:33:17.018,LOSS
SOLUSDT,Market,20.0,1762220196329,Buy,10709de7-e2f5-473d-a4d9-7e19f32eba42,-0.6096856,0.0099656,0.02772,166.09333333,0.3,49.828,1762216554093,174.39,0.3,168.0,Trade,1,50.4,2025-11-04 00:35:54.093,LOSS
KASUSDT,Market,20.0,1762216621281,Sell,1af23382-7f01-456d-89ab-da651fc7b2fd,0.51302435,0.0114431,0.03177499,0.04651667,1230.0,57.2155,1762216621278,0.0442,1230,0.04696967,Trade,3,57.7727,2025-11-04 00:37:01.278,WIN
DOGEUSDT,Market,20.0,1762221367720,Buy,43295a06-7dbb-4db8-ba02-b88ad3315127,-0.01499303,0.00370731,0.01019572,0.17006,109.0,18.53654,1762220091726,0.17856,109,0.17007,Trade,8,18.53763,2025-11-04 01:34:51.726,LOSS
NEARUSDT,Market,20.0,1762226083304,Buy,24bd1725-e0c2-41d0-977a-e2dcfd15a2fa,-0.01298659,0.00204898,0.00563761,1.933,5.3,10.2449,1762220352143,2.029,5.3,1.934,Trade,8,10.2502,2025-11-04 01:39:12.143,LOSS
