symbol,orderType,leverage,updatedTime,side,orderId,closedPnl,openFee,closeFee,avgEntryPrice,qty,cumEntryValue,createdTime,orderPrice,closedSize,avgExitPrice,execType,fillCount,cumExitValue,date,outcome
LINKUSDT,Market,20.0,1759490295129,Sell,2235d02d-b182-4b65-89bb-2f8194337666,-10.48933973,1.04528078,1.04065895,22.35894706,85.0,1900.5105,1759480948548,21.241,85,22.26008352,Trade,27,1892.1071,2025-10-03 08:42:28.548,LOSS
DOGEUSDT,Market,20.0,1759496590218,Sell,1c2d6b4b-bda8-4b99-a29e-9518bd65845c,-13.41296406,0.9875142,0.98121986,0.25573,7021.0,1795.48033,1759493735051,0.24295,7021,0.2541,Trade,1,1784.0361,2025-10-03 12:15:35.051,LOSS
DOGEUSDT,Market,20.0,1759498141088,Sell,c922f312-1da4-474d-bdd7-9cfcc20b9caa,16.03085173,0.91382035,0.92364792,0.25420617,6536.0,1661.49152,1759496647433,0.24407,6536,0.25694,Trade,2,1679.35984,2025-10-03 13:04:07.433,WIN
DOGEUSDT,Market,20.0,1759500019487,Sell,fd23242d-93b7-4b05-a9ef-357c1189e97e,-15.82791957,1.00208841,0.99448116,0.25687,7093.0,1821.97891,1759498192161,0.24403,7093,0.25492,Trade,1,1808.14756,2025-10-03 13:29:52.161,LOSS
LINKUSDT,Market,20.0,1759505658177,Sell,8555d4e0-3a04-4455-93fb-fddce4906e9f,17.57563875,0.91933875,0.9300225,22.287,75.0,1671.525,1759504560006,21.415,75,22.546,Trade,1,1690.95,2025-10-03 15:16:00.006,WIN
LINKUSDT,Market,20.0,1759507338719,Sell,8bc2bfed-91e9-445e-9e68-5459169f7644,21.2619842,0.9422974,0.95513,22.543,76.0,1713.268,1759505693579,21.704,76,22.85,Trade,3,1736.6,2025-10-03 15:34:53.579,WIN
HBARUSDT,Market,20.0,1759507255758,Sell,79f49e8d-cb50-4ac4-b32b-d531674c59ff,20.31314376,1.01406748,1.02646412,0.22402904,8230.0,1843.75896,1759505701331,0.2154,8230,0.22676772,Trade,3,1866.29837,2025-10-03 15:35:01.331,WIN
DOGEUSDT,Market,20.0,1759514798899,Sell,e5802bde-d3a0-4854-aa11-2bcff0dea37e,-17.48230166,0.70152506,0.6926766,0.25846,4935.0,1275.5001,1759511750516,0.24554,4935,0.2552,Trade,46,1259.412,2025-10-03 17:15:50.516,LOSS
DOGEUSDT,Market,20.0,1759538152128,Sell,b7a371a7-ac02-462c-a778-c424ba6fbb12,5.32455981,0.61427464,0.61794283,0.25622,4359.0,1116.86298,1759514986694,0.24496,4359,0.25775,Trade,23,1123.53225,2025-10-03 18:09:46.694,WIN
HBARUSDT,Market,20.0,1759522424617,Sell,50283712-0994-4777-8865-90a7e86de316,-2.97341018,0.80300633,0.80225385,0.2241,6515.0,1460.0115,1759515315960,0.2129,6515,0.22389,Trade,1,1458.64335,2025-10-03 18:15:15.960,LOSS
HBARUSDT,Market,20.0,1759550727067,Buy,8c91abc4-657e-4783-af70-46afa6a84ce6,5.47545359,0.99528413,0.99128011,0.2241,8075.0,1809.6075,1759522518082,0.2343,8075,0.22319845,Trade,12,1802.32742,2025-10-03 20:15:18.082,WIN
LINKUSDT,Market,20.0,1759544057419,Buy,54c9878f-28e5-4eb3-a8bc-9ae9071018b7,17.00146916,0.925497,0.91513384,22.43629066,75.0,1682.7218,1759539612171,23.298,75,22.18506267,Trade,2,1663.8797,2025-10-04 01:00:12.171,WIN
DOGEUSDT,Market,20.0,1759565701560,Sell,7c53918d-b12a-464f-986e-c6d4397903f9,-3.44126804,1.35433459,1.35406726,0.25331,9721.0,2462.42651,1759551348544,0.24071,9721,0.25326,Trade,1,2461.94046,2025-10-04 04:15:48.544,LOSS
LINKUSDT,Market,20.0,1759566522961,Buy,2b83a878-f66b-4224-b8c7-9d95ab7be176,15.29455148,1.03621376,1.02677026,22.165,85.0,1884.025,1759566522957,23.065,85,21.963,Trade,3,1866.855,2025-10-04 08:28:42.957,WIN
DOGEUSDT,Market,20.0,1759571279073,Sell,e5bf9e36-7b31-4c2c-94d8-8828a1cf69b5,-28.53404683,1.53553459,1.52152224,0.25314,11029.0,2791.88106,1759569303966,0.24049,11029,0.25083,Trade,1,2766.40407,2025-10-04 09:15:03.966,LOSS
DOGEUSDT,Market,20.0,1759589411457,Sell,8641a8d5-91d9-4a7f-89d9-1da7029e7655,0.86453301,1.12506649,1.1267805,0.24943,8201.0,2045.57543,1759578930426,0.2374,8201,0.24981,Trade,1,2048.69181,2025-10-04 11:55:30.426,WIN
LINKUSDT,Market,20.0,1759581275475,Sell,30568ac1-5e7a-4243-8f95-edcff9746888,10.21980557,1.19807593,1.2050185,21.783198,100.0,2178.3198,1759581275471,20.82,100,21.909427,Trade,13,2190.9427,2025-10-04 12:34:35.471,WIN
HBARUSDT,Market,20.0,1759608058568,Buy,3aa3acdf-855d-475c-8072-9e5420eaae86,-12.37254158,1.7523885,1.75726308,0.21566,14774.0,3186.16084,1759595458514,0.22644,14774,0.2162599,Trade,6,3195.02373,2025-10-04 16:30:58.514,LOSS
DOGEUSDT,Market,20.0,1759609904844,Sell,ac83a94d-eb70-4ad4-a6c7-c5e804d32af4,1.55301024,1.4682096,1.47068016,0.2496,10695.0,2669.472,1759609904840,0.23753,10695,0.25002,Trade,4,2673.9639,2025-10-04 20:31:44.840,WIN
HBARUSDT,Market,20.0,1759615952736,Sell,80e8ef4c-bf32-41cb-9d30-0a55321d05b6,6.50951657,2.31821987,2.32435356,0.2164174,19476.0,4214.94515,1759615952732,0.20615,19476,0.21699,Trade,14,4226.09724,2025-10-04 22:12:32.732,WIN
LINKUSDT,Market,25.0,1759628475020,Buy,46705515-b83b-4b11-9be7-d02bc0e67b1c,-17.00034,1.98611381,1.99347379,22.019,164.0,3611.116,1759619759438,22.899,164,22.10059574,Trade,77,3624.4977,2025-10-04 23:15:59.438,LOSS
LINKUSDT,Market,25.0,1759631512190,Buy,1c5a7829-79b3-4a12-b161-58b4ef443b41,-24.0869303,1.60452689,1.61600341,22.10092121,132.0,2917.3216,1759628477044,22.984,132,22.259,Trade,2,2938.188,2025-10-05 01:41:17.044,LOSS
DOGEUSDT,Market,25.0,1759633055307,Sell,678fceb1-7d65-4349-8f55-b9054a2f459f,18.61099324,1.18037299,1.19191377,0.25365,8461.0,2146.13265,1759633055304,0.24351,8461,0.25613,Trade,3,2167.11593,2025-10-05 02:57:35.304,WIN
HBARUSDT,Market,25.0,1759634160667,Sell,17e42b7b-ddf0-4428-b5e5-c14e015083c0,-7.99151524,2.31539237,2.31354287,0.2208364,19063.0,4209.80416,1759633061355,0.21201,19063,0.22066,Trade,1,4206.44158,2025-10-05 02:57:41.355,LOSS
LINKUSDT,Market,25.0,1759640595797,Buy,cd36ee16-3c45-4c77-ae59-d11148a60299,-28.22945633,1.2307959,1.24496043,22.378107,100.0,2237.8107,1759639542109,23.273,100,22.635644,Trade,15,2263.5644,2025-10-05 04:45:42.109,LOSS
DOGEUSDT,Market,25.0,1759641914279,Sell,7e76462d-9226-4ecc-8712-cd8a04f512c5,15.72870296,0.29505838,0.30403866,0.25365,2115.0,536.46975,1759641914275,0.24833,2115,0.26137,Trade,2,552.79755,2025-10-05 05:25:14.275,WIN
LINKUSDT,Market,25.0,1759643794253,Buy,42ea5dfb-416b-4f54-88f3-354a80a890ea,6.39852739,0.9450144,0.94045821,22.608,76.0,1718.208,1759643794250,23.512,76,22.499,Trade,4,1709.924,2025-10-05 05:56:34.250,WIN
HBARUSDT,Market,25.0,1759648107157,Buy,00298304-fc82-4aaf-8934-353775764c3f,-24.25178109,1.68506622,1.69654487,0.22162592,13824.0,3063.75674,1759643846438,0.23049,13824,0.22313563,Trade,14,3084.62691,2025-10-05 05:57:26.438,LOSS
DOGEUSDT,Market,20.0,1759683070369,Sell,ea4a0f10-081f-4d06-ad76-710ee47bd235,-13.30272917,0.55835967,0.55168064,0.25733817,3945.0,1015.19906,1759667683324,0.24448,3945,0.25426,Trade,1,1003.0557,2025-10-05 12:34:43.324,LOSS
MNTUSDT,Market,20.0,1759854177056,Buy,012ba250-fc80-469b-b751-0f3f297b5c3e,5.64435477,0.27483139,0.27145402,2.2932233,217.9,499.69335884,1759852038148,2.4078,217.9,2.26504241,Trade,2,493.55274,2025-10-07 15:47:18.148,WIN
MNTUSDT,Market,20.0,1759853145196,Buy,e8b88717-f8fa-40c3-a10c-417d841e9528,1.62097631,0.2749575,0.27379165,2.2932233,218.0,499.92268116,1759853145192,2.4078,218,2.2835,Trade,1,497.803,2025-10-07 16:05:45.192,WIN
