symbol,side,pnl,entry_price,sma_200,close,distance_pct,against_trend
LINKUSDT,Buy,-1.89748332,15.5865,14.995574999999999,16.087,7.278313769228596,False
BRETTUSDT,Sell,-1.59164261,0.02082667,0.0220676,0.02452,11.113125124617088,True
PONKEUSDT,Buy,-1.5603433,0.05405333,0.0497078,0.05789,16.460595721395823,False
DOGEUSDT,Buy,-1.53655137,0.17031666,0.1657471,0.18053,8.918949411482908,False
ONDOUSDT,Buy,-1.51167398,0.63596666,0.6127769999999999,0.6749,10.13794577799104,False
WIFUSDT,Buy,-1.48330665,0.46436666,0.438783,0.4898,11.626931763536883,False
ETHUSDT,Sell,-1.44841904,3283.3534,3355.27295,3444.37,2.655433740494938,True
DOGEUSDT,Buy,-1.25394246,0.17676666,0.1657471,0.18053,8.918949411482908,False
BRETTUSDT,Sell,-1.2393891,0.02141667,0.0220676,0.02452,11.113125124617088,True
1000PEPEUSDT,Buy,-1.2352467,0.00601333,0.005704275,0.006277,10.040276809936401,False
XRPUSDT,Buy,-1.23120222,2.2958,2.2680395,2.329,2.687805922251363,False
PONKEUSDT,Buy,-1.14248331,0.04886,0.0497078,0.05789,16.460595721395823,False
BRETTUSDT,Buy,-1.12456316,0.02175333,0.0220676,0.02452,11.113125124617088,False
ETHUSDT,Buy,-1.09315461,3328.99,3355.27295,3444.37,2.655433740494938,False
WIFUSDT,Buy,-1.09272063,0.4781,0.438783,0.4898,11.626931763536883,False
ONDOUSDT,Buy,-1.08386068,0.65905,0.6127769999999999,0.6749,10.13794577799104,False
PONKEUSDT,Sell,-1.07650859,0.04969334,0.0497078,0.05789,16.460595721395823,True
WIFUSDT,Buy,-1.07594875,0.44786666,0.438783,0.4898,11.626931763536883,False
HBARUSDT,Buy,-1.06360226,0.17459,0.16900125,0.17922,6.046552910111611,False
WIFUSDT,Sell,-1.05841928,0.43583334,0.438783,0.4898,11.626931763536883,True
