feature,importance
FIBO_relative_position_5m,236
ICHIMOKU_dist_price_tenkan_1h,143
ICHIMOKU_dist_price_tenkan_55m,142
RSI_14_5m,129
ICHIMOKU_dist_price_kijun_5m,118
ICHIMOKU_dist_price_tenkan_45m,88
ICHIMOKU_dist_price_kijun_15m,86
ICHIMOKU_dist_price_tenkan_2h,81
ICHIMOKU_dist_price_tenkan_14m,80
ICHIMOKU_dist_price_tenkan_50m,80
ICHIMOKU_dist_price_tenkan_15m,79
BBP_20_2.0_2.0_35m,77
BBB_20_2.0_2.0_20m,67
dist_to_PP,63
BBP_20_2.0_2.0_50m,61
FIBO_relative_position_10m,59
BBB_20_2.0_2.0_25m,56
ICHIMOKU_dist_price_tenkan_3h,55
ICHIMOKU_dist_price_tenkan_35m,48
BBP_20_2.0_2.0_25m,47
ICHIMOKU_dist_price_tenkan_40m,46
ICHIMOKU_dist_price_kijun_10m,45
BBB_20_2.0_2.0_15m,43
BBP_20_2.0_2.0_55m,41
FIBO_relative_position_15m,37
ICHIMOKU_dist_price_kijun_14m,35
BBB_20_2.0_2.0_10m,34
ICHIMOKU_dist_price_tenkan_20m,34
BBP_20_2.0_2.0_14m,33
BBP_20_2.0_2.0_2h,32
BBP_20_2.0_2.0_45m,32
ICHIMOKU_dist_price_tenkan_25m,31
ICHIMOKU_dist_price_tenkan_4h,31
ICHIMOKU_dist_price_tenkan_30m,29
BBP_20_2.0_2.0_40m,28
WAVELET_NRG_9_24,25
ICHIMOKU_price_vs_cloud_5m,25
BBP_20_2.0_2.0_20m,24
BBB_20_2.0_2.0_14m,23
BBP_20_2.0_2.0_15m,16
INTERACTION_RSI_ADX,15
WAVELET_NRG_25_64,14
dist_to_R1,14
BBP_20_2.0_2.0_3h,13
BBB_20_2.0_2.0_5m,13
FIBO_relative_position_5m_lag_3,13
AROOND_25_45m,10
BBP_20_2.0_2.0_30m,10
ADX_14_10m,10
FIBO_relative_position_20m,9
AROONU_25_20m,9
ADX_14_15m,9
AROONU_25_10m,9
dist_to_S1,8
AROOND_25_35m,8
AROONU_25_40m,8
RSI_14_55m,8
RSI_14_5m_lag_1,8
BBP_20_2.0_2.0_10m,8
AROONU_25_55m,8
AROONOSC_25_10m,7
FIBO_relative_position_14m,7
FIBO_relative_position_5m_lag_1,7
ICHIMOKU_cloud_color_5m,7
AROONOSC_25_35m,7
AROOND_25_5m,6
ICHIMOKU_tk_cross_10m,6
AROOND_25_40m,6
BBP_20_2.0_2.0_4h,6
BBB_20_2.0_2.0_50m,6
FIBO_relative_position_35m,6
AROONU_25_25m,6
AROONOSC_25_25m,6
BBB_20_2.0_2.0_1h,6
FIBO_relative_position_5m_lag_2,6
RSI_14_50m,5
AROONU_25_15m,5
FIBO_relative_position_2h,5
BBB_20_2.0_2.0_30m,5
MACDh_12_26_9_5m_lag_1,5
ADX_14_5m,5
dist_to_R2,4
dist_to_S2,4
MACDh_12_26_9_5m_lag_2,4
FIBO_relative_position_50m,4
MACDh_12_26_9_15m,4
AROOND_25_30m,4
RSI_14_5m_lag_2,4
AROOND_25_10m,4
AROOND_25_15m,4
ICHIMOKU_dist_price_tenkan_5m,4
AROOND_25_55m,4
ICHIMOKU_tk_cross_14m,4
RSI_14_45m,4
RSI_14_3h,4
AROONU_25_5m,4
FIBO_relative_position_40m,4
ADX_14_14m,4
ICHIMOKU_dist_price_tenkan_10m,4
FIBO_relative_position_45m,4
AROOND_25_20m,4
BBB_20_2.0_2.0_55m,4
MARKET_REGIME_VOL_OF_VOL,3
DMN_14_5m,3
BBP_20_2.0_2.0_5m,3
BBP_20_2.0_2.0_1h,3
AROONU_25_30m,3
AROONU_25_35m,3
MACDh_12_26_9_30m,3
ICHIMOKU_price_vs_cloud_10m,3
FIBO_distance_to_nearest_15m,3
AROONU_25_14m,3
ICHIMOKU_dist_price_kijun_55m,3
AROONOSC_25_30m,3
FIBO_relative_position_1h,3
AROONOSC_25_2h,3
AROOND_25_50m,3
ICHIMOKU_dist_price_kijun_20m,3
RSI_14_5m_lag_3,3
AROONOSC_25_5m,3
ADX_14_25m,2
ICHIMOKU_tk_cross_15m,2
AROOND_25_25m,2
BBB_20_2.0_2.0_35m,2
AROOND_25_14m,2
AROONOSC_25_14m,2
MACDh_12_26_9_20m,2
ADXR_14_2_35m,2
AROONOSC_25_40m,2
AROONU_25_45m,2
ADX_14_45m,2
ICHIMOKU_dist_price_kijun_50m,2
ADX_14_50m,2
AROONOSC_25_1h,2
AROONU_25_2h,2
DMP_14_5m,2
MACDh_12_26_9_5m_lag_3,1
ICHIMOKU_dist_price_kijun_3h,1
BBB_20_2.0_2.0_2h,1
WAVELET_NRG_2_8_lag_1,1
OBV_5m,1
hour_sin,1
ICHIMOKU_cloud_thickness_2h,1
AROONOSC_25_3h,1
AROONU_25_1h,1
AROOND_25_1h,1
OBV_3h,1
ATRr_14_2h,1
RSI_14_2h,1
ATRr_14_1h,1
FIBO_relative_position_55m,1
HURST_100_4h,1
OBV_50m,1
ADXR_14_2_50m,1
hour_cos,1
RSI_14_15m,1
BBU_20_2.0_2.0_4h,1
DMN_14_15m,1
