feature,ranking
RSI_14_5m,1
FIBO_relative_position_10m,1
ICHIMOKU_dist_price_tenkan_1h,1
ICHIMOKU_dist_price_kijun_5m,1
ICHIMOKU_dist_price_tenkan_55m,1
ICHIMOKU_dist_price_tenkan_35m,1
ICHIMOKU_dist_price_tenkan_2h,1
ICHIMOKU_dist_price_tenkan_3h,1
BBP_20_2.0_2.0_35m,1
ICHIMOKU_dist_price_tenkan_25m,1
dist_to_PP,1
BBB_20_2.0_2.0_15m,1
BBP_20_2.0_2.0_45m,1
ICHIMOKU_dist_price_tenkan_45m,1
BBP_20_2.0_2.0_25m,1
BBB_20_2.0_2.0_25m,1
BBP_20_2.0_2.0_50m,1
ICHIMOKU_dist_price_tenkan_14m,1
ICHIMOKU_dist_price_kijun_15m,1
FIBO_relative_position_15m,1
ICHIMOKU_dist_price_tenkan_50m,1
FIBO_relative_position_5m,1
BBB_20_2.0_2.0_20m,1
BBP_20_2.0_2.0_55m,1
ICHIMOKU_dist_price_tenkan_15m,1
ICHIMOKU_dist_price_tenkan_40m,2
BBB_20_2.0_2.0_5m,2
STOCHh_14_3_3_14m,2
ICHIMOKU_price_vs_cloud_5m,2
STOCHd_14_3_3_14m,2
BBP_20_2.0_2.0_14m,2
BBB_20_2.0_2.0_14m,2
ICHIMOKU_dist_price_tenkan_30m,2
BBP_20_2.0_2.0_30m,2
STOCHh_14_3_3_40m,2
dist_to_R1,2
STOCHh_14_3_3_4h,2
ICHIMOKU_dist_price_tenkan_4h,2
STOCHh_14_3_3_35m,2
BBP_20_2.0_2.0_40m,2
BBP_20_2.0_2.0_3h,2
ICHIMOKU_dist_price_kijun_10m,2
BBP_20_2.0_2.0_2h,2
ICHIMOKU_dist_price_tenkan_5m,2
STOCHh_14_3_3_2h,2
STOCHh_14_3_3_1h,2
STOCHh_14_3_3_45m,2
STOCHh_14_3_3_25m,2
STOCHd_14_3_3_15m,2
BBP_20_2.0_2.0_15m,2
STOCHh_14_3_3_50m,2
ICHIMOKU_dist_price_kijun_14m,2
STOCHd_14_3_3_25m,2
ICHIMOKU_dist_price_tenkan_20m,2
STOCHh_14_3_3_20m,2
BBP_20_2.0_2.0_20m,2
STOCHd_14_3_3_20m,2
STOCHh_14_3_3_55m,2
BBB_20_2.0_2.0_10m,2
WAVELET_NRG_9_24,2
WAVELET_NRG_25_64,2
dist_to_S1,3
dist_to_R2,3
dist_to_S2,3
RSI_14_5m_lag_1,3
RSI_14_5m_lag_2,3
RSI_14_5m_lag_3,3
MACDh_12_26_9_5m_lag_1,3
FIBO_relative_position_5m_lag_3,3
FIBO_relative_position_5m_lag_2,3
FIBO_relative_position_5m_lag_1,3
STOCHd_14_3_3_10m,3
STOCHh_14_3_3_10m,3
ADX_14_15m,3
AROOND_25_15m,3
AROONU_25_15m,3
RSI_14_55m,3
STOCHk_14_3_3_55m,3
AROONU_25_55m,3
FIBO_relative_position_14m,3
FIBO_distance_to_nearest_14m,3
STOCHh_14_3_3_15m,3
RSI_14_50m,3
STOCHk_14_3_3_50m,3
ADX_14_50m,3
AROOND_25_50m,3
AROONU_25_20m,3
HURST_100_20m,3
AROOND_25_45m,3
AROONU_25_25m,3
BBB_20_2.0_2.0_30m,3
FIBO_relative_position_20m,3
AROOND_25_10m,3
AROONU_25_10m,3
BBP_20_2.0_2.0_4h,3
STOCHh_14_3_3_3h,3
DMP_14_1h,3
AROOND_25_35m,3
FIBO_relative_position_35m,3
BBB_20_2.0_2.0_40m,3
FIBO_relative_position_2h,3
RSI_14_3h,3
AROOND_25_40m,3
AROONU_25_40m,3
FIBO_relative_position_40m,3
BBP_20_2.0_2.0_5m,3
STOCHk_14_3_3_5m,3
STOCHd_14_3_3_5m,3
ADX_14_5m,3
ADXR_14_2_5m,3
FIBO_relative_position_1h,3
ICHIMOKU_dist_price_kijun_55m,3
BBB_20_2.0_2.0_1h,3
BBP_20_2.0_2.0_1h,3
DMP_14_5m,3
DMN_14_5m,3
